Fecha de Suscripción,Usuario Libre,Suministrador,Link de Descarga
42916,AGRICOLA HUARMEY  S.A.,ENGIE Energía Perú S.A.,ENG_AGR_2017630_1_1616.pdf
42894,FARGOLINE S.A.,ENGIE ENERGÍA PERÚ S.A.,ENG_FAR_201768_0_1622.pdf
42894,FERREYCORP S.A.A.,ENGIE ENERGÍA PERÚ S.A.,ENG_FER_201768_0_1623.pdf
42894,FERREYROS S.A.,ENGIE ENERGÍA PERÚ S.A.,ENG_FER_201768_0_1624.pdf
42902, Agrícola Hoja Redonda S.A., Engie Energía Perú S.A., En_ Ag_2017616_0_1642.pdf
42933,Compañía Minera Chungar S.A.C.,ENGIE Energía Perú S.A.,ENG_Com_2017717_1_1644.pdf
42962,CMT DEL SUR S.A.C.,ENGIE Energía Perú S.A.,ENG_CMT_2017815_0_1658.pdf
42926,Clínica Internacional S.A., ENGIE ENERGÍA PERU S.A., EN_Clí_2017710_0_1659.pdf
42928,GLOBAL PLASTIC S.A.C.,ENGIE Energía Perú S.A.,ENG_GLO_2017712_0_1660.pdf
42947, BANCO DE CRÉDITO DEL PERÚ, ENGIE ENERGIA PERU S.A., EN_ BA_2017731_1_1661.pdf
42968,GRANJA RINCONADA DEL SUR S.A.,ENGIE Energía Perú S.A.,ENG_GRA_2017821_0_1684.pdf
42968,CHIMU AGROPECUARIA S.A.,ENGIE Energía Perú S.A.,ENG_CHI_2017821_0_1685.pdf
42968,AGROPECUARIA CHAVIN S.A.C.,ENGIE Energía Perú S.A.,ENG_AGR_2017821_0_1686.pdf
42968,San Fernando S.A.,ENGIE Energía Perú S.A.,ENG_San_2017821_0_1687.pdf
42972,Marcobre S.A.C.,ENGIE Energía Perú S.A.,ENG_Mar_2017825_0_1691.pdf
42872, COMPAÑÍA MINERA ANTAPACCAY S.A.,ENGIE ENERGIA PERÚ S.A.,ENG_ CO_2017517_9_1705.pdf
43017,FARMEX S.A.,ENGIE ENERGÍA PERÚ S.A.,ENG_FAR_2017109_1_1706.pdf
43049,VSI INDUSTRIAL S.A.C.,ENGIE Energía Perú S.A.,ENG_VSI_20171110_0_1770.pdf
43028,INVERSIONES PERUANAS ÑAÑA SJL EN UQUIDACIÓN, ENGIE ENERGIA PERU S.A.,EN_INV_20171020_0_1782.pdf
43028,GRAFIPAPEL S.A.,ENGIE Energía Perú S.A.,ENG_GRA_20171020_0_1783.pdf
43095,TECNOFIL S.A.,ENGIE Energía Perú S.A.,ENG_TEC_20171226_0_1834.pdf
43090,AGROLMOS S.A.,ENGIE Energía Perú S.A.,ENG_AGR_20171221_0_1835.pdf
43097,COMPAÑÍA MINERA ATACOCHA S.A.,ENGIE Energía Perú S.A.,ENG_COM_20171228_0_1836.pdf
43098,MILPO ANDINA PERÚ S.A.C.,ENGIE Energía Perú S.A.,ENG_MIL_20171229_0_1837.pdf
43098,VOTORATIM METAIS-CAJARMARQUILLA S.A.,ENGIE Energía Perú S.A.,ENG_VOT_20171229_9_1838.pdf
43050,GANADERA SANTA ELENA S.A.,"ENGIE Energía Perú S,A.",ENG_GAN_20171111_0_1852.pdf
43165,ANCLO AMERICAN QUELLAVECO S-A.,ENGIE ENERGIA PERU S.A.,ENG_ANC_201836_2_2021.pdf
43192,NESTLÉ PERÚ S.A.,ENGIE ENERGIA PERU S.A.,ENG_NES_201842_0_2032.pdf
43194,JOCKEY CLUB DEL PERÚ SA,ENGIE ENERGIA PERU S.A.,ENG_JOC_201844_0_2033.pdf
43159,ANABI S.A.C,ENGIE ENERGIA PERU S.A.,ENG_ANA_2018228_1_2051.pdf
43159,APUMAYO S.A.C.,ENGIE ENERGIA PERU S.A.,ENG_APU_2018228_4_2052.pdf
43166, LINDE GAS PERÚ S.A.,ENGIE ENERGIA PERU S.A.,ENG_ LI_201837_2_2053.pdf
43157,FOSFORERA PERUANA S.A.,ENGIE ENERGÍA PERÚ S.A.,ENG_FOS_2018226_0_2082.pdf
43154,"PROCESOS AGROINDUSTRIALES S.A.,",ENGIE ENERGÍA PERÚ S.A.,ENG_PRO_2018223_0_2083.pdf
43215,PETROPERÚ S.A.,ENGIE ENERGÍA PERÚ S.A.,ENG_PET_2018425_0_2085.pdf
43264,UNIVERSIDAD DE LIMA,ENGIE ENERGIA PERU S.A.,ENG_UNI_2018613_3_2119.pdf
43329,"JUNTA DE PROPIETARIOS DE LA TORRE  I, DEL EDIFICIO PLAZA REPUBLICA",ENGIE ENERGIA PERU S.A.,ENG_JUN_2018817_0_2250.pdf
